behavior_id	feature_id	expectation	modes	platforms	level	evidence
startup-profile-session	startup-profile	モード切替前の非同期結果を新モードへ混入させない	BOTH	BOTH	UNIT	shared/src/commonTest/kotlin/compat/ExperienceProfileSessionTest.kt#sessionResultRequiresSameActiveProfileAndGeneration
startup-profile-android	startup-profile	Androidでふたちゃが起動して操作可能な初期画面を表示する	FUTACHA	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/MainActivitySmokeTest.kt#launch_showsBoardManagementAndMenuActions
startup-profile-ios	startup-profile	iOSで両モードが起動して操作可能な初期画面を表示する	BOTH	IOS	IOS_UI	iosApp/iosAppUITests/IosAppUITests.swift#testFutachaProfileReachesForeground;iosApp/iosAppUITests/IosAppUITests.swift#testToshiakiCompatibilityProfileReachesForeground
board-edit-state	board-management	板の追加・移動・ピン状態を決定的に更新する	BOTH	BOTH	UNIT	shared/src/commonTest/kotlin/ui/board/BoardManagementScreenTest.kt#buildAddBoardValidationState_validatesUrlSchemeDuplicateAndSubmitState;shared/src/commonTest/kotlin/ui/board/BoardManagementScreenTest.kt#moveBoardSummary_movesWithinBoundsAndKeepsOutOfRangeUntouched;shared/src/commonTest/kotlin/ui/board/BoardManagementScreenTest.kt#toggleBoardSummaryPinned_changesOnlyTheRequestedBoard
board-drag-persistence	board-management	並べ替えハンドルの即時ドラッグをドロップ時に永続化し再描画後も順序を保つ	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardHandleDragReordersAndPersistsOnDrop
compat-board-dialog-reference	board-management	old.apk／1.apkの板一覧取得・追加・長押し改名・削除Dialogについて題名・項目・検証順・正規化・確認文・ボタンを再現し追加／改名／削除を永続化する	TOSHIAKI_COMPAT	BOTH	INTEGRATION	shared/src/commonTest/kotlin/ui/compat/CompatBoardUpdateTest.kt#boardInputMatchesReferenceNormalizationAndErrorOrder;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete;iosApp/iosAppUITests/IosAppUITests.swift#testToshiakiBoardDialogsMatchOldAndFinalApk
compat-board-update-reference	board-management	板一覧取得は公式入力だけを受理して固定bbsmenuを取得し、旧URLを変換しながら二次元裏→img/dat→その他の順で新規板だけを末尾追加し既存名と順序を維持する	TOSHIAKI_COMPAT	BOTH	INTEGRATION	shared/src/commonTest/kotlin/ui/compat/CompatBoardUpdateTest.kt#boardUpdateAcceptsOnlyReferenceEntryAndUsesReferenceAliases;shared/src/commonTest/kotlin/ui/compat/CompatBoardUpdateTest.kt#parsesLegacyBbsmenuAndAddsSpecialBoards;shared/src/commonTest/kotlin/ui/compat/CompatBoardUpdateTest.kt#keepsExistingBoardIdentityAndManualUrl;shared/src/commonTest/kotlin/ui/compat/CompatBoardUpdateTest.kt#appliesReferenceLegacyMenuRewritesAndShelterFallback;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete;iosApp/iosAppUITests/IosAppUITests.swift#testToshiakiBoardDialogsMatchOldAndFinalApk
catalog-load-state	catalog	初回取得成功と失敗をローディング残留なしで反映する	FUTACHA	BOTH	UNIT	shared/src/commonTest/kotlin/ui/board/CatalogScreenSupportTest.kt#catalogExecutionSupport_initialLoadAppliesSuccessState;shared/src/commonTest/kotlin/ui/board/CatalogScreenSupportTest.kt#catalogExecutionSupport_initialLoadShowsBoardMissingError
catalog-refresh-position	catalog	更新後の差分を反映し設定OFFなら位置を維持・ONなら先頭へ戻して元画面へ復帰できる	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRefreshShowsReplyIncreaseFromThePreviousGeneration;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogToolbarRefreshKeepsPositionWhenReferenceSettingIsOff;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogToolbarRefreshReturnsToFirstRowWhenReferenceSettingIsOn;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogScrollPositionSurvivesOpeningAndClosingThread
catalog-image-refresh-retry	catalog	カタログ画像の初回取得が失敗しても更新時に同じURLを再試行し、成功した画像へ置き換える	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatViewerGestureInstrumentedTest.kt#catalogReloadRetriesAVisibleImageThatPreviouslyFailed
catalog-reload-undo	catalog	ツールバーのUndoは閉じたスレ復元と区別し、リロード前のカタログを新しい順に最大4回前まで表示する	TOSHIAKI_COMPAT	BOTH	INTEGRATION	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt#toolbarMastersAndReconciliationPreserveLegacyCountsDefaultsAndUserOrder;shared/src/commonTest/kotlin/compat/CompatibilityOtherMenusTest.kt#catalogRoot_hasExactTargetOrderAndOnlyDefersCacheBackend;app-android/src/androidTest/java/com/valoser/futacha/CompatibilitySnapshotCacheInstrumentedTest.kt#catalogSnapshotIsAtomicNewestWinsAndKeepsSixGenerationsPerSort
thread-cold-load	thread-loading	キャッシュのない新規スレを手動更新なしで取得しWEBP／WEBM添付でも本文を覆い続けない	BOTH	BOTH	UNIT	shared/src/commonTest/kotlin/ui/compat/CompatThreadFetchTest.kt#coldOrEmptySnapshotAlwaysFetchesWithoutManualRefresh;shared/src/commonTest/kotlin/ui/board/ThreadScreenLoadLogicTest.kt#performThreadLoadWithOfflineFallback_usesArchiveAndOfflinePaths;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#webpAndWebmThreadColdLoadRevealsPostsWithoutManualRefresh
thread-real-cold-load	thread-loading	実板の未キャッシュスレが両モードで初回表示される	BOTH	IOS	DEVICE	iosApp/iosAppUITests/IosAppUITests.swift#testRealColdThreadsLoadWithoutManualRefresh
thread-compat-loading-motion	thread-loading	としあき仮の新規スレ取得中は中央のローディング画像が500ms周期で画素として動き続ける	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadInitialDefaultLoadingArtworkHasVisibleMotionWhileRequestIsBlocked
thread-compat-loading-theme	thread-loading	としあき仮のローディングはold.apk／1.apkのテーマ別専用色を使いブラックでも視認できる	TOSHIAKI_COMPAT	BOTH	UNIT	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#loadingArtworkUsesTheDedicatedColorsFromBothReferenceApks
history-persistence	thread-history	履歴の差分・スクロール位置・削除状態を再起動後も保つ	BOTH	BOTH	UNIT	shared/src/commonTest/kotlin/state/AppStateStoreTest.kt#historyFileStore_migratesLegacyJsonIntoSplitFiles;shared/src/commonTest/kotlin/ui/FutachaAppTest.kt#futachaThreadMutationCallbacks_persistScrollPositionWithThreadContext
history-no-duplicate	thread-history	スレを開き直してもレス数やタブを重複加算しない	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#reopeningCatalogThreadDoesNotDuplicateItsReplyCount
posting-protocol	posting	スレ立て・返信の成功応答とサーバー失敗理由を解析する	BOTH	BOTH	INTEGRATION	shared/src/commonTest/kotlin/network/HttpBoardApiTest.kt#createThread_extractsThreadIdFromHtmlResponse;shared/src/commonTest/kotlin/network/HttpBoardApiTest.kt#replyToThread_throwsParsedServerErrorFromSuccessfulHttpResponse
posting-form-ui	posting	両モードの返信フォームから画像系添付操作へ到達できる	BOTH	IOS	IOS_UI	iosApp/iosAppUITests/IosAppUITests.swift#testFutachaProfileReachesForeground;iosApp/iosAppUITests/IosAppUITests.swift#testToshiakiCompatibilityProfileReachesForeground
posting-compat-modal-wait	posting	としあき仮の送信中はテーマ別50dpローディングを表示し戻る・背面操作を受け付けない	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postSendUsesNonCancelableThemeLoadingDialogWhileRequestIsBlocked
posting-reference-ups-dialog	posting	あぷ小は参照どおり空コメント・記憶済み削除キーで開き、正確な題名・項目・送信文言を表示し、送信後は非キャンセル待機へ切り替える	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	shared/src/commonTest/kotlin/compat/CompatPostPlatformActionsTest.kt#upsUploadStartsWithEmptyCommentAndTheRememberedDeleteKey;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postUpsUploadDialogMatchesReferenceCopyDefaultsAndNonDismissibleFlow
posting-reference-attachment-preview	posting	添付は名前欄より前で画像を幅150dp・横長比率、動画を100dp操作枠として表示し、ファイル名をその下へ置く	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postAttachmentPreviewMatchesReferenceOrderDimensionsAndVideoAffordance
posting-reference-overflow-popup	posting	投稿ツールバーのその他は中央Dialogではなく参照APK同様に下部ツールバー直上へ全コマンドを並べ、有効状態を区別する	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postOverflowUsesReferenceBottomPopupInsteadOfCenteredDialog
posting-reference-validation	posting	送信確認を先に表示してから空本文・削除キー不足をold.apk／1.apkと同じ文言で通知し、添付判定の全エラー文も一致させる	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	shared/src/commonTest/kotlin/compat/CompatPostPlatformActionsTest.kt#attachmentDecisionSeparatesEveryTargetErrorAndCompressionBoundary;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postValidationMessagesMatchBothReferenceApks
posting-reference-picker	posting	添付とあぷ小の長押しは参照どおりファイル選択アプリ一覧を開き、選択したAndroidコンポーネントを次回の通常タップで再利用する	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postAttachmentLongPressShowsTheReferenceRememberedPickerDialog
posting-drawing-geometry	posting	手書き画面はsample同様のFutaba背景上に幅90%・344対135の描画面を中央表示する	TOSHIAKI_COMPAT	BOTH	UNIT	shared/src/commonTest/kotlin/ui/compat/CompatDrawingRenderSupportTest.kt#drawingSurfaceMatchesTheReferenceApkDimensionsAndBackground
posting-drawing-brushes	posting	手書きは主筆の臙脂6・副筆のFutaba色24を3倍pxで描き、参照どおりの12色見本と1〜25の線幅を使う	TOSHIAKI_COMPAT	BOTH	UNIT	shared/src/commonTest/kotlin/ui/compat/CompatDrawingRenderSupportTest.kt#drawingBrushesAndTwelveColorPickerMatchBothReferenceApks
posting-drawing-brushes-android	posting	Android手書き画面で主筆・副筆・12色見本・リセットを実際に操作できる	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postDrawingDialogsBrushesAndHelpMatchBothReferenceApks
posting-drawing-brushes-ios	posting	iOS手書き画面で主筆・副筆・12色見本・リセットを実際に操作できる	TOSHIAKI_COMPAT	IOS	IOS_UI	iosApp/iosAppUITests/IosAppUITests.swift#testToshiakiCompatibilityProfileReachesForeground
posting-drawing-output	posting	手書き保存は画面解像度に依存せず344×135へ縮小しFutaba色背景とdrawing_yyyyMMdd_HHmmss.pngで添付する	TOSHIAKI_COMPAT	BOTH	UNIT	shared/src/commonTest/kotlin/ui/compat/CompatDrawingRenderSupportTest.kt#drawingStrokesAreScaledIntoTheReference344By135Png
posting-drawing-output-android	posting	Androidの実PNGエンコーダーも344×135・Futaba色背景・参照ファイル名を生成する	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postDrawingDialogsBrushesAndHelpMatchBothReferenceApks
posting-drawing-dialogs	posting	手書きのクリア・保存・未保存Backは参照の確認文を表示し、クリアは筆設定を変えず、ヘルプ往復でも描画状態を保つ	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postDrawingDialogsBrushesAndHelpMatchBothReferenceApks
media-large-response	media	画像が多いスレの応答を旧5MiB制限で拒否しない	BOTH	BOTH	INTEGRATION	shared/src/commonTest/kotlin/network/HttpBoardApiTest.kt#fetchThread_acceptsImageHeavyResponseBeyondLegacyFiveMiBLimit
